resource,bytes,organisations,endpoints,start-date,end-date
07c85467a160b0ca3debf5a15f7c72007ee41503bdecd28d19aac050fff23ce0,,local-authority-eng:BUC,5df3c1c2ebb634a6f6bcb0d5d274223fb5869183ef0d56f09848222ad025f55b,2021-01-08,
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,,local-authority-eng:BUC,556e9fb45ede3fece18bd8e6c3d42acc909aedd0233fd4d0d534fec705da9010,2021-01-08,
2a0fbb4617763bb2644fa489edcb36942cd07743dce4adfd4791e0ce37ca135a,,local-authority-eng:BUC,43f3f4404fe5b472b81db85ea24395b03c9fbee2274162ed637739caca045e7c,2021-01-08,
33943492cbaa803a874b432e3d272a4b447611bdf56eac14d465f65ecff3892f,,local-authority-eng:BUC,a1af9ca0f2337ed5bea3aec1898e5e2034c14c31f6110e8e57148dc7fe07a942,2021-01-08,
39c10fd7bd3348291170173c9a0c783a0108678613ccf51b1088d3ed0f932306,,local-authority-eng:BUC,e6d46aa60c28d8b378557815b42a6db04f300ba47149ffdc0c243a778e74d845,2021-01-08,
440c5c1392fda63f7c274768359741151560c2b696f1a38a3083cc7dca435958,,local-authority-eng:BUC,07dae86ab06f0733228655c47bfbcb1b66146987284d9f0452717ca219cee72d,2021-01-08,
6b2628128c516c2e07fc1f45d1794055985a4257dfbfca234bcd4846a2eddc0d,,local-authority-eng:BUC,d0601260f810326445fa71964dfd73a097dfb3063a4f67b4286606fb14616fa1,2021-01-08,
6d624bc688118d70d5ecbc41403c66b5bdb49d8ccd9f75411c4f7a6f287cf409,,local-authority-eng:BUC,f8d4b8618c65466c9fdd4ebc0eb8f94391ba62514734e26e5d465c5b4b470f93,2021-01-08,
a9d2a9aa54e081dda1931efede4a616da4a0b1a7ad298ae162b023c892c11daf,,local-authority-eng:BUC,746bd026444b6f6871a668961e8e7cc757ff9e82907ebe1c8a28b70ff3e15091,2021-01-08,
b1d1b3a145b8f57b54a6227dc8b85cacce48cb9468efb61dbaa978facc48560d,,local-authority-eng:BUC,5d8812acb6ad3fa1d414bab2422661e0512f3cedfd8d41f146e9f2f2c1def818,2021-01-08,
bdeb9d9f3e085c5e97dceaeff291a48ea74d21185dce3c8aca5ae14b3b93dc47,,local-authority-eng:BUC,3cdd4d7143d5ee013f3ebf6835a282c8ea431b88f434df6ded6ed3ac6b9740f8,2021-01-08,
bf15ed030a1201b4ba9359ad051fe920965102701cad70e7c1af2d4cf0ae81f3,,local-authority-eng:BUC,9c8f0a7cb67a6f77525121f4c01e7f0fcfbb0fe9945b806161cc9d95e924f1ca,2021-01-08,
e936b1eca6f85c2e40b830e16b7f799901d0fa87a6631d529c0946696138931f,,local-authority-eng:BUC,cb1190aa0ce9afe7bc888ec19ee3c5825c8c73cdeadbddcdd0eebcdffd8c0296,2021-01-08,
