row-number,field,issue-type,value
1,organisation,default,local-authority-eng:BUC
1,entry-date,default,2021-01-08
2,organisation,default,local-authority-eng:BUC
2,entry-date,default,2021-01-08
3,organisation,default,local-authority-eng:BUC
3,entry-date,default,2021-01-08
4,organisation,default,local-authority-eng:BUC
4,entry-date,default,2021-01-08
5,organisation,default,local-authority-eng:BUC
5,entry-date,default,2021-01-08
6,organisation,default,local-authority-eng:BUC
6,entry-date,default,2021-01-08
7,organisation,default,local-authority-eng:BUC
7,entry-date,default,2021-01-08
8,organisation,default,local-authority-eng:BUC
8,entry-date,default,2021-01-08
9,organisation,default,local-authority-eng:BUC
9,entry-date,default,2021-01-08
10,organisation,default,local-authority-eng:BUC
10,entry-date,default,2021-01-08
11,organisation,default,local-authority-eng:BUC
11,entry-date,default,2021-01-08
12,organisation,default,local-authority-eng:BUC
12,entry-date,default,2021-01-08
13,organisation,default,local-authority-eng:BUC
13,entry-date,default,2021-01-08
14,organisation,default,local-authority-eng:BUC
14,entry-date,default,2021-01-08
15,organisation,default,local-authority-eng:BUC
15,entry-date,default,2021-01-08
16,organisation,default,local-authority-eng:BUC
16,entry-date,default,2021-01-08
17,organisation,default,local-authority-eng:BUC
17,entry-date,default,2021-01-08
18,organisation,default,local-authority-eng:BUC
18,entry-date,default,2021-01-08
19,organisation,default,local-authority-eng:BUC
19,entry-date,default,2021-01-08
20,organisation,default,local-authority-eng:BUC
20,entry-date,default,2021-01-08
21,organisation,default,local-authority-eng:BUC
21,entry-date,default,2021-01-08
22,organisation,default,local-authority-eng:BUC
22,entry-date,default,2021-01-08
23,organisation,default,local-authority-eng:BUC
23,entry-date,default,2021-01-08
24,organisation,default,local-authority-eng:BUC
24,entry-date,default,2021-01-08
25,organisation,default,local-authority-eng:BUC
25,entry-date,default,2021-01-08
26,organisation,default,local-authority-eng:BUC
26,entry-date,default,2021-01-08
27,organisation,default,local-authority-eng:BUC
27,entry-date,default,2021-01-08
28,organisation,default,local-authority-eng:BUC
28,entry-date,default,2021-01-08
29,organisation,default,local-authority-eng:BUC
29,entry-date,default,2021-01-08
30,organisation,default,local-authority-eng:BUC
30,entry-date,default,2021-01-08
31,organisation,default,local-authority-eng:BUC
31,entry-date,default,2021-01-08
32,organisation,default,local-authority-eng:BUC
32,entry-date,default,2021-01-08
33,organisation,default,local-authority-eng:BUC
33,entry-date,default,2021-01-08
34,organisation,default,local-authority-eng:BUC
34,entry-date,default,2021-01-08
35,organisation,default,local-authority-eng:BUC
35,entry-date,default,2021-01-08
36,organisation,default,local-authority-eng:BUC
36,entry-date,default,2021-01-08
37,organisation,default,local-authority-eng:BUC
37,entry-date,default,2021-01-08
38,organisation,default,local-authority-eng:BUC
38,entry-date,default,2021-01-08
39,organisation,default,local-authority-eng:BUC
39,entry-date,default,2021-01-08
40,organisation,default,local-authority-eng:BUC
40,entry-date,default,2021-01-08
41,organisation,default,local-authority-eng:BUC
41,entry-date,default,2021-01-08
42,organisation,default,local-authority-eng:BUC
42,entry-date,default,2021-01-08
43,organisation,default,local-authority-eng:BUC
43,entry-date,default,2021-01-08
44,organisation,default,local-authority-eng:BUC
44,entry-date,default,2021-01-08
45,organisation,default,local-authority-eng:BUC
45,entry-date,default,2021-01-08
46,organisation,default,local-authority-eng:BUC
46,entry-date,default,2021-01-08
47,organisation,default,local-authority-eng:BUC
