documentation-url,end-date,entry-date,geography,geometry,name,organisation,point,reference,start-date,slug
,,2021-01-08,development-policy-area:LPD21G,"MULTIPOLYGON (((-0.822707 51.675813,-0.822183 51.675563,-0.821817 51.675846,-0.822258 51.676107,-0.822360 51.676133,-0.822175 51.676321,-0.821964 51.676228,-0.821451 51.675908,-0.821896 51.675619,-0.821718 51.675510,-0.822662 51.674963,-0.822694 51.674985,-0.822743 51.674961,-0.823115 51.675301,-0.823106 51.675488,-0.822980 51.675561,-0.822707 51.675813)))",Coal Yard Smalldean Lane Saunderton,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21G
,,2021-01-08,development-policy-area:LPD21H,"MULTIPOLYGON (((-0.710847 51.582588,-0.710554 51.582789,-0.709920 51.582378,-0.710110 51.582277,-0.710847 51.582588)))",Windrush House Bourne End,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21H
,,2021-01-08,development-policy-area:LPD21I,"MULTIPOLYGON (((-0.772050 51.634322,-0.771795 51.634297,-0.771878 51.633960,-0.769765 51.633765,-0.769821 51.633552,-0.770029 51.633579,-0.770064 51.633449,-0.772440 51.633680,-0.772297 51.634285,-0.772211 51.634332,-0.772050 51.634322)),((-0.769787 51.633851,-0.770295 51.633901,-0.770209 51.634146,-0.769683 51.634095,-0.769715 51.633960,-0.769766 51.633950,-0.769787 51.633851)))",Dashwood Avenue High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21I
,,2021-01-08,development-policy-area:LPD21J,"MULTIPOLYGON (((-0.770064 51.633448,-0.770029 51.633579,-0.769819 51.633560,-0.769852 51.633430,-0.770064 51.633448)))",34 Dashwood Avenue High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21J
,,2021-01-08,development-policy-area:LPD21K,"MULTIPOLYGON (((-0.771155 51.633111,-0.771142 51.633162,-0.770208 51.633071,-0.770231 51.632979,-0.770297 51.632984,-0.770326 51.632902,-0.770000 51.632871,-0.770017 51.632818,-0.770097 51.632789,-0.771211 51.632895,-0.771155 51.633111)))",Ogilvie Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21K
,,2021-01-08,development-policy-area:LPD21L,"MULTIPOLYGON (((-0.727137 51.626000,-0.727125 51.626030,-0.726017 51.625853,-0.726133 51.625548,-0.726771 51.625750,-0.727137 51.626000)))",Land to the rear of Quebec Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21L
,,2021-01-08,development-policy-area:LPD21M,"MULTIPOLYGON (((-0.735836 51.626198,-0.735676 51.626505,-0.735516 51.626447,-0.735527 51.626430,-0.735199 51.626359,-0.735316 51.626138,-0.735729 51.626218,-0.735758 51.626175,-0.735637 51.626140,-0.735811 51.625823,-0.736426 51.625986,-0.736412 51.626007,-0.736058 51.625920,-0.735995 51.626019,-0.736339 51.626111,-0.736334 51.626132,-0.735943 51.626036,-0.735836 51.626198)))",Netley Works 89 Queens Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21M
,,2021-01-08,development-policy-area:LPD21N,"MULTIPOLYGON (((-0.780320 51.624870,-0.780074 51.624803,-0.780243 51.624478,-0.779792 51.624398,-0.779804 51.624365,-0.780202 51.624435,-0.780268 51.624398,-0.780847 51.623217,-0.781105 51.623265,-0.780920 51.623637,-0.780961 51.623650,-0.780960 51.623704,-0.781365 51.623765,-0.781353 51.623801,-0.780955 51.623732,-0.780908 51.623786,-0.780855 51.623781,-0.780320 51.624870)))",Garages between Chiltern Avenue and Rutland Avenue High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21N
,,2021-01-08,development-policy-area:LPD21O,"MULTIPOLYGON (((-0.722436 51.641787,-0.722386 51.642133,-0.722314 51.642126,-0.722367 51.641883,-0.721488 51.641822,-0.721510 51.641771,-0.721445 51.641690,-0.721483 51.641642,-0.721603 51.641596,-0.721553 51.641544,-0.722010 51.641376,-0.722436 51.641787)))",Garages at Tyzack Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21O
,,2021-01-08,development-policy-area:LPD21P,"MULTIPOLYGON (((-0.791121 51.618620,-0.790891 51.618603,-0.790922 51.618435,-0.791151 51.618451,-0.791121 51.618620)))",Garages at Havenfield Road High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21P
,,2021-01-08,development-policy-area:LPD21Q,"MULTIPOLYGON (((-0.764740 51.634002,-0.764505 51.633886,-0.764445 51.633876,-0.764563 51.633783,-0.764843 51.633922,-0.764740 51.634002)))",1-9 Shaftesbury Street High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21Q
,,2021-01-08,development-policy-area:LPD21R,"MULTIPOLYGON (((-0.768990 51.575168,-0.771475 51.574997,-0.771496 51.574970,-0.771681 51.575144,-0.771816 51.575223,-0.771134 51.575684,-0.770556 51.576193,-0.770272 51.576379,-0.768990 51.575168)))",Foxes Piece Marlow Buckinghamshire,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21R
,,2021-01-08,development-policy-area:LPD21S,"MULTIPOLYGON (((-0.799357 51.608279,-0.799091 51.608804,-0.797944 51.608878,-0.797885 51.607377,-0.797929 51.607375,-0.798185 51.608360,-0.799357 51.608279)))",Westside Fruit / The Apple Orchard Clay Lane High Wycombe,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPD21S
