development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
LPHS2,,,2021-01-08,"MULTIPOLYGON (((-0.776841 51.774975,-0.776789 51.774828,-0.776667 51.774850,-0.776595 51.774790,-0.776600 51.774745,-0.776702 51.774708,-0.776221 51.774090,-0.775839 51.773693,-0.775481 51.773585,-0.775361 51.773500,-0.774999 51.773403,-0.774110 51.773054,-0.773741 51.773216,-0.773181 51.772718,-0.772366 51.772406,-0.770602 51.773228,-0.770877 51.773444,-0.771386 51.773966,-0.771663 51.774163,-0.771609 51.774202,-0.771332 51.773984,-0.770499 51.773158,-0.770500 51.773099,-0.769449 51.772179,-0.769293 51.771962,-0.769050 51.771523,-0.769000 51.771539,-0.769008 51.771470,-0.769267 51.771378,-0.769207 51.771360,-0.769750 51.771148,-0.766811 51.768814,-0.767701 51.768361,-0.767828 51.768131,-0.767875 51.767861,-0.767869 51.767677,-0.767671 51.767497,-0.767537 51.767138,-0.779135 51.769105,-0.778978 51.769452,-0.772484 51.768341,-0.772377 51.769499,-0.773396 51.769201,-0.773581 51.769950,-0.774052 51.769833,-0.774110 51.769917,-0.773972 51.769968,-0.773901 51.769925,-0.773851 51.769937,-0.773744 51.770023,-0.773789 51.770051,-0.773625 51.770125,-0.773701 51.770311,-0.773949 51.770281,-0.774139 51.770337,-0.774270 51.770562,-0.773893 51.770757,-0.773038 51.770859,-0.773210 51.771133,-0.773264 51.771160,-0.773105 51.771240,-0.773658 51.771705,-0.773813 51.771638,-0.775618 51.772404,-0.776030 51.772229,-0.777198 51.772198,-0.778101 51.772229,-0.778650 51.772192,-0.779209 51.772237,-0.779408 51.772315,-0.779613 51.772502,-0.780087 51.772561,-0.780293 51.772708,-0.780365 51.772984,-0.780634 51.773163,-0.780664 51.773261,-0.780640 51.773379,-0.780903 51.773712,-0.780957 51.773694,-0.782292 51.774805,-0.782000 51.774943,-0.781800 51.774978,-0.781526 51.774885,-0.781259 51.774922,-0.781209 51.774885,-0.781194 51.774802,-0.781133 51.774753,-0.780804 51.774704,-0.780552 51.774604,-0.780427 51.774469,-0.779675 51.774228,-0.779517 51.774321,-0.779326 51.774346,-0.778714 51.774519,-0.778626 51.774605,-0.778296 51.774586,-0.777731 51.774690,-0.776841 51.774975),(-0.767985 51.767587,-0.768014 51.767866,-0.768107 51.767936,-0.769295 51.768448,-0.769931 51.768802,-0.770170 51.768586,-0.770263 51.768545,-0.770302 51.768591,-0.772083 51.769543,-0.772199 51.768294,-0.767985 51.767587)),((-0.800594 51.780387,-0.800190 51.780603,-0.799562 51.780253,-0.799448 51.780286,-0.799823 51.780776,-0.798574 51.781393,-0.798421 51.781251,-0.798619 51.781116,-0.798453 51.780801,-0.798461 51.780665,-0.798528 51.780568,-0.797884 51.780765,-0.797800 51.780691,-0.798418 51.780502,-0.797860 51.779389,-0.797659 51.779077,-0.797477 51.778836,-0.797087 51.778521,-0.796551 51.778124,-0.795996 51.777833,-0.794553 51.777357,-0.794492 51.777413,-0.794073 51.777424,-0.794032 51.777461,-0.793961 51.777431,-0.794122 51.777286,-0.793023 51.777121,-0.792506 51.776731,-0.793503 51.776176,-0.793083 51.775900,-0.793503 51.776176,-0.793103 51.776400,-0.793240 51.776434,-0.794767 51.776711,-0.795183 51.776338,-0.795255 51.776369,-0.795174 51.776441,-0.795295 51.776685,-0.795175 51.776793,-0.795987 51.777010,-0.796726 51.777301,-0.797431 51.777681,-0.798168 51.778199,-0.798491 51.778543,-0.798715 51.778858,-0.799402 51.780201,-0.799976 51.780026,-0.800594 51.780387)),((-0.809898 51.781977,-0.808980 51.782455,-0.808414 51.780708,-0.808144 51.780061,-0.807735 51.780136,-0.807482 51.779601,-0.807009 51.779361,-0.807849 51.778804,-0.807776 51.778669,-0.807818 51.778633,-0.807792 51.778503,-0.807968 51.778455,-0.807935 51.778393,-0.807783 51.778430,-0.807284 51.777443,-0.807351 51.777391,-0.807242 51.777244,-0.807206 51.777061,-0.807235 51.776986,-0.807393 51.776875,-0.807496 51.776849,-0.807733 51.776858,-0.807863 51.776719,-0.810715 51.775854,-0.810705 51.775424,-0.810780 51.775221,-0.810854 51.775227,-0.810906 51.775093,-0.811036 51.775057,-0.811309 51.775193,-0.811285 51.775227,-0.811131 51.775187,-0.811006 51.775213,-0.810921 51.775442,-0.810938 51.775936,-0.808018 51.776822,-0.807906 51.776943,-0.808008 51.777056,-0.808043 51.777347,-0.807918 51.777505,-0.807819 51.777512,-0.808166 51.778159,-0.808457 51.778311,-0.808643 51.778307,-0.808855 51.778369,-0.809702 51.778739,-0.809055 51.779101,-0.809401 51.779833,-0.808806 51.779941,-0.809124 51.780616,-0.809392 51.780571,-0.809898 51.781977)),((-0.800875 51.777081,-0.800702 51.777005,-0.801244 51.776684,-0.802092 51.775998,-0.802282 51.776081,-0.801650 51.776608,-0.801259 51.776876,-0.801936 51.777198,-0.801355 51.777669,-0.800595 51.777308,-0.800875 51.777081)),((-0.805912 51.779173,-0.806646 51.779501,-0.806341 51.779697,-0.805648 51.779387,-0.805480 51.779523,-0.804721 51.779162,-0.805302 51.778691,-0.806062 51.779051,-0.805912 51.779173)),((-0.783742 51.770505,-0.783561 51.770605,-0.783321 51.770544,-0.783309 51.770564,-0.780648 51.769855,-0.780633 51.769876,-0.780367 51.769805,-0.780481 51.769640,-0.780747 51.769711,-0.780733 51.769731,-0.783134 51.770350,-0.783148 51.770330,-0.783417 51.770397,-0.783402 51.770419,-0.783742 51.770505)),((-0.787219 51.772116,-0.786895 51.772149,-0.785714 51.771188,-0.785624 51.770983,-0.785978 51.771046,-0.785953 51.771086,-0.787219 51.772116)),((-0.771619 51.774211,-0.771885 51.774327,-0.772053 51.774437,-0.772798 51.775022,-0.773140 51.775319,-0.773972 51.776097,-0.774144 51.776228,-0.774242 51.776248,-0.774173 51.776277,-0.774001 51.776166,-0.773417 51.775643,-0.773048 51.775248,-0.772687 51.774952,-0.772057 51.774466,-0.771794 51.774300,-0.771596 51.774231,-0.771619 51.774211)),((-0.792513 51.775514,-0.792181 51.775278,-0.792099 51.775212,-0.792181 51.775278,-0.792513 51.775514)))",HS2 Safeguarded Land,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/LPHS2
LPPRA,,,2021-01-08,"MULTIPOLYGON (((-0.809949 51.781950,-0.808980 51.782455,-0.808479 51.781982,-0.808150 51.780997,-0.807644 51.779737,-0.807039 51.778433,-0.805984 51.776449,-0.805427 51.774873,-0.805194 51.773114,-0.805349 51.771340,-0.807898 51.757843,-0.807949 51.757647,-0.808480 51.757730,-0.808912 51.756570,-0.808931 51.755986,-0.808904 51.755378,-0.808188 51.755376,-0.808123 51.754725,-0.808006 51.754141,-0.808356 51.754074,-0.808138 51.752805,-0.808153 51.752652,-0.807823 51.752682,-0.807902 51.751852,-0.808168 51.750928,-0.808660 51.749950,-0.809274 51.749033,-0.810132 51.748035,-0.811153 51.747079,-0.811958 51.746418,-0.812724 51.745868,-0.814147 51.744986,-0.815965 51.744075,-0.822638 51.740851,-0.823104 51.741087,-0.823751 51.740740,-0.823564 51.740337,-0.824852 51.739491,-0.826282 51.738315,-0.826428 51.738102,-0.827090 51.738349,-0.828233 51.737032,-0.829100 51.736125,-0.830445 51.734519,-0.831896 51.732898,-0.832792 51.731836,-0.834298 51.730142,-0.839250 51.724434,-0.839547 51.724143,-0.839977 51.723804,-0.840032 51.723722,-0.840475 51.723375,-0.842285 51.722134,-0.842741 51.721795,-0.843160 51.721382,-0.843581 51.720879,-0.843746 51.720603,-0.843972 51.720000,-0.844060 51.719649,-0.844010 51.718487,-0.844016 51.717775,-0.844311 51.717794,-0.844569 51.717885,-0.844719 51.718000,-0.844810 51.718176,-0.844769 51.718677,-0.844823 51.719012,-0.844790 51.719602,-0.844548 51.720516,-0.844263 51.721044,-0.843893 51.721485,-0.843223 51.722128,-0.841039 51.723677,-0.840446 51.724128,-0.839952 51.724588,-0.830994 51.734825,-0.828287 51.737854,-0.827500 51.738804,-0.825967 51.740066,-0.824552 51.740995,-0.823305 51.741685,-0.819074 51.743705,-0.815087 51.745670,-0.813767 51.746491,-0.813090 51.746979,-0.812322 51.747610,-0.811371 51.748501,-0.810579 51.749424,-0.810025 51.750252,-0.809585 51.751115,-0.809340 51.751966,-0.809257 51.752863,-0.809323 51.753610,-0.809566 51.754638,-0.809664 51.755624,-0.809586 51.756494,-0.808496 51.762482,-0.806791 51.771429,-0.806644 51.773091,-0.806864 51.774749,-0.807391 51.776233,-0.808422 51.778165,-0.809043 51.779501,-0.809562 51.780794,-0.809949 51.781950)))",Princes Risborough to Aylesbury Safeguarded Land,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/LPPRA
