development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
LPHH,,,2021-01-08,"MULTIPOLYGON (((-0.796521 51.605694,-0.796006 51.604725,-0.796609 51.604579,-0.796828 51.604557,-0.797116 51.604433,-0.797356 51.604388,-0.797773 51.604229,-0.798025 51.604172,-0.798650 51.603851,-0.798800 51.603723,-0.798783 51.603710,-0.799051 51.603628,-0.799148 51.603723,-0.799553 51.603971,-0.799990 51.604308,-0.800485 51.604577,-0.800436 51.604653,-0.800650 51.604844,-0.799747 51.605087,-0.798534 51.605299,-0.798046 51.605435,-0.796521 51.605694)))",Land adjoining High Heavens,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHH
LPWSX,,,2021-01-08,"MULTIPOLYGON (((-0.705725 51.575323,-0.704638 51.575161,-0.704770 51.574989,-0.705004 51.574262,-0.705853 51.574319,-0.705957 51.574274,-0.707250 51.571560,-0.708147 51.571704,-0.708569 51.571667,-0.708635 51.571982,-0.708607 51.572135,-0.708410 51.572421,-0.708308 51.572479,-0.708310 51.572526,-0.708105 51.572775,-0.708033 51.572934,-0.707988 51.573206,-0.707604 51.573748,-0.707245 51.574164,-0.706735 51.574380,-0.705725 51.575323)))",Wessex Road Industrial Estate,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPWSX
LPHL,,,2021-01-08,"MULTIPOLYGON (((-0.679873 51.591175,-0.679741 51.591410,-0.679945 51.591529,-0.679859 51.591580,-0.679915 51.591615,-0.679947 51.591698,-0.679944 51.591999,-0.679854 51.592039,-0.679793 51.592111,-0.679197 51.592200,-0.679209 51.592357,-0.679289 51.592632,-0.679305 51.592923,-0.679449 51.593463,-0.678901 51.593549,-0.677597 51.592078,-0.678148 51.591821,-0.679596 51.590900,-0.679948 51.591093,-0.679873 51.591175)))",Holtspur Lane,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHL
LPDPR,,,2021-01-08,"MULTIPOLYGON (((-0.768209 51.634062,-0.768882 51.634133,-0.768794 51.634473,-0.771617 51.634744,-0.771564 51.634947,-0.772106 51.635001,-0.771826 51.636067,-0.771606 51.636032,-0.771472 51.636057,-0.771349 51.636263,-0.771289 51.636244,-0.771183 51.636375,-0.769651 51.635909,-0.769502 51.636120,-0.769191 51.636034,-0.769021 51.636225,-0.768032 51.635927,-0.768351 51.635535,-0.767960 51.635447,-0.768046 51.635334,-0.766396 51.635126,-0.765870 51.635006,-0.766723 51.634457,-0.767120 51.634694,-0.767353 51.634456,-0.767415 51.634481,-0.767503 51.634394,-0.767837 51.634437,-0.767856 51.634378,-0.767909 51.634383,-0.767956 51.634197,-0.768026 51.634204,-0.768065 51.634047,-0.768209 51.634062)))",Desborough Park Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPDPR
LPVBC,,,2021-01-08,"MULTIPOLYGON (((-0.740487 51.628309,-0.740508 51.628371,-0.740078 51.629260,-0.739250 51.629101,-0.739219 51.629164,-0.738792 51.629101,-0.738775 51.629134,-0.738672 51.629116,-0.738647 51.629050,-0.738214 51.628992,-0.738203 51.629024,-0.737929 51.628974,-0.737857 51.629102,-0.737591 51.629052,-0.737771 51.628802,-0.737623 51.628765,-0.737382 51.629010,-0.737294 51.628966,-0.737371 51.628891,-0.737327 51.628859,-0.737495 51.628709,-0.737182 51.628586,-0.737401 51.628474,-0.736379 51.628343,-0.736445 51.628182,-0.736602 51.628208,-0.736737 51.627901,-0.737960 51.628071,-0.737919 51.628165,-0.738679 51.628318,-0.738849 51.627921,-0.739516 51.628043,-0.740487 51.628309)))",Valley Business Centre,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPVBC
LPLON,,,2021-01-08,"MULTIPOLYGON (((-0.703255 51.611761,-0.703128 51.611677,-0.703058 51.611531,-0.702736 51.611319,-0.702346 51.611095,-0.702017 51.611024,-0.702164 51.610928,-0.701898 51.610791,-0.701734 51.610590,-0.701511 51.610411,-0.701677 51.610291,-0.702098 51.610097,-0.702996 51.610562,-0.703434 51.610747,-0.704154 51.611168,-0.703255 51.611761)))",London Road Employment Area,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLON
LPSTA,,,2021-01-08,"MULTIPOLYGON (((-0.700407 51.608628,-0.700340 51.608665,-0.700388 51.608726,-0.699863 51.608888,-0.700403 51.609568,-0.700250 51.609641,-0.699943 51.609604,-0.699837 51.609505,-0.699668 51.609455,-0.699628 51.609321,-0.699429 51.609190,-0.699334 51.609064,-0.698896 51.609200,-0.698816 51.609050,-0.698820 51.608983,-0.698894 51.608881,-0.699400 51.608391,-0.699756 51.608157,-0.699768 51.608071,-0.699697 51.608065,-0.699928 51.607846,-0.700069 51.607832,-0.700253 51.607910,-0.700756 51.608374,-0.700726 51.608444,-0.700407 51.608628)))",Station Road Loudwater,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPSTA
LPGOM,,,2021-01-08,"MULTIPOLYGON (((-0.716936 51.620113,-0.712816 51.618098,-0.712196 51.617790,-0.712475 51.617636,-0.712933 51.617173,-0.712903 51.617167,-0.713086 51.617209,-0.713610 51.616691,-0.713755 51.616675,-0.714347 51.616909,-0.714751 51.617139,-0.715014 51.617333,-0.715764 51.617957,-0.715684 51.617995,-0.716531 51.618632,-0.716026 51.618996,-0.716259 51.619125,-0.716378 51.619143,-0.716374 51.619191,-0.716842 51.619252,-0.716792 51.619393,-0.716654 51.619503,-0.716899 51.619620,-0.717696 51.619899,-0.716936 51.620113)))",Gomm Road / Tannery Road Industrial Estate,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPGOM
LPMARL,,,2021-01-08,"MULTIPOLYGON (((-0.765185 51.634472,-0.765527 51.634816,-0.765756 51.634930,-0.765623 51.634960,-0.765190 51.634764,-0.763662 51.634300,-0.763634 51.634264,-0.763188 51.634126,-0.762978 51.634385,-0.761420 51.633911,-0.761407 51.633851,-0.761752 51.633175,-0.762151 51.633231,-0.762239 51.633085,-0.762801 51.633203,-0.762990 51.632910,-0.763547 51.633013,-0.763534 51.633029,-0.763996 51.633165,-0.764159 51.632935,-0.764428 51.633013,-0.763868 51.633800,-0.763779 51.633903,-0.763429 51.633806,-0.763318 51.633954,-0.763778 51.634094,-0.763962 51.633870,-0.764470 51.634079,-0.765086 51.634488,-0.765185 51.634472)))",Marlborough Industrial Estate,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMARL
LPWYE,,,2021-01-08,"MULTIPOLYGON (((-0.724809 51.622058,-0.724665 51.622055,-0.723663 51.621771,-0.722734 51.621426,-0.722103 51.621154,-0.722817 51.620643,-0.723475 51.620861,-0.723993 51.621193,-0.724505 51.621584,-0.724782 51.621719,-0.725104 51.621826,-0.724926 51.622009,-0.724809 51.622058)))",Wye Industrial Estate,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPWYE
