development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
LPBAK,,,2021-01-08,"MULTIPOLYGON (((-0.761460 51.633397,-0.761129 51.633425,-0.760743 51.633369,-0.760915 51.633029,-0.760920 51.632930,-0.761091 51.632618,-0.761075 51.632584,-0.760801 51.632529,-0.761069 51.632037,-0.761116 51.631915,-0.761101 51.631889,-0.761284 51.631897,-0.762196 51.632102,-0.761460 51.633397)))",Baker Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBAK
LPKCH,,,2021-01-08,"MULTIPOLYGON (((-0.766965 51.631416,-0.766250 51.632129,-0.765398 51.631822,-0.765826 51.631401,-0.765672 51.631342,-0.765996 51.631031,-0.766965 51.631416)))",Kitchener Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPKCH
LPMILL,,,2021-01-08,"MULTIPOLYGON (((-0.780400 51.637001,-0.781047 51.635817,-0.781629 51.635941,-0.781805 51.636030,-0.782732 51.636121,-0.782717 51.636228,-0.783418 51.636615,-0.783660 51.636692,-0.783537 51.636995,-0.784141 51.637106,-0.783960 51.637537,-0.783201 51.637424,-0.782959 51.637940,-0.783655 51.638058,-0.783576 51.638284,-0.783207 51.639008,-0.783035 51.639044,-0.782291 51.638773,-0.782458 51.638492,-0.782000 51.638415,-0.782049 51.638282,-0.781947 51.638267,-0.781920 51.638210,-0.781707 51.638175,-0.781499 51.638623,-0.780460 51.638391,-0.780691 51.637976,-0.780383 51.637958,-0.780151 51.638072,-0.779848 51.637963,-0.780400 51.637001)))",Mill End Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMILL
LPKNV,,,2021-01-08,"MULTIPOLYGON (((-0.694350 51.601739,-0.694879 51.601384,-0.697055 51.602758,-0.696902 51.602848,-0.696876 51.602831,-0.696541 51.603033,-0.696989 51.603361,-0.697546 51.603891,-0.697783 51.604319,-0.697819 51.604328,-0.697924 51.604538,-0.697926 51.604628,-0.697994 51.604636,-0.698238 51.604801,-0.698324 51.604936,-0.698820 51.604519,-0.698991 51.604644,-0.698674 51.604743,-0.698560 51.604913,-0.698366 51.604992,-0.698432 51.605093,-0.698378 51.605213,-0.697920 51.605601,-0.697874 51.605717,-0.697948 51.605855,-0.698021 51.605919,-0.698169 51.605974,-0.698017 51.605986,-0.697796 51.605908,-0.696815 51.606517,-0.695310 51.605864,-0.695257 51.605301,-0.695185 51.605236,-0.695102 51.605211,-0.694864 51.605436,-0.694589 51.605569,-0.694434 51.605609,-0.694302 51.605619,-0.693978 51.605543,-0.693940 51.605501,-0.693947 51.605359,-0.694147 51.604900,-0.694124 51.604896,-0.694235 51.604597,-0.694255 51.604237,-0.694058 51.603599,-0.693712 51.603201,-0.693363 51.602973,-0.693052 51.602821,-0.692183 51.602608,-0.691708 51.602546,-0.689682 51.602398,-0.689922 51.602255,-0.690156 51.602161,-0.690543 51.602140,-0.690754 51.602080,-0.690877 51.601967,-0.690858 51.601897,-0.690993 51.601916,-0.691425 51.601781,-0.691970 51.601691,-0.692182 51.601578,-0.692344 51.601443,-0.692833 51.601271,-0.693688 51.601901,-0.693944 51.602023,-0.694350 51.601739)))",Knaves Beech Way,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPKNV
LPGFT,,,2021-01-08,"MULTIPOLYGON (((-0.772256 51.635134,-0.772290 51.635017,-0.772834 51.635062,-0.772885 51.634865,-0.774012 51.634963,-0.774101 51.634623,-0.775312 51.634733,-0.775215 51.634979,-0.775063 51.635169,-0.774876 51.635336,-0.772256 51.635134)),((-0.772725 51.635810,-0.772659 51.635508,-0.772604 51.635420,-0.772413 51.635381,-0.772173 51.635438,-0.772260 51.635205,-0.773712 51.635327,-0.773752 51.635355,-0.773630 51.635919,-0.773558 51.635942,-0.773515 51.635935,-0.773527 51.635881,-0.772725 51.635810)))",Grafton Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPGFT
LPBEL,,,2021-01-08,"MULTIPOLYGON (((-0.754505 51.635912,-0.754824 51.635435,-0.754922 51.635456,-0.754853 51.635558,-0.755224 51.635642,-0.755138 51.636049,-0.755195 51.636237,-0.755243 51.636595,-0.755619 51.637263,-0.755905 51.637854,-0.755903 51.638128,-0.755513 51.638344,-0.755224 51.638338,-0.755055 51.638948,-0.754615 51.639036,-0.754223 51.639063,-0.754311 51.637496,-0.754389 51.636621,-0.754505 51.635912)))",Bellfield Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBEL
LPHUG,,,2021-01-08,"MULTIPOLYGON (((-0.753928 51.639872,-0.753918 51.640003,-0.753118 51.639994,-0.753071 51.639101,-0.753967 51.639182,-0.754707 51.639118,-0.755436 51.638936,-0.755506 51.639341,-0.755723 51.640138,-0.755200 51.640156,-0.753928 51.639872),(-0.753969 51.639185,-0.753976 51.639209,-0.753968 51.639349,-0.753980 51.639212,-0.753969 51.639185)),((-0.751130 51.639382,-0.751141 51.639333,-0.751076 51.639316,-0.751148 51.639286,-0.751261 51.639092,-0.751651 51.638854,-0.751798 51.638864,-0.752554 51.639064,-0.752572 51.639260,-0.752685 51.639561,-0.752788 51.639563,-0.752805 51.639763,-0.752474 51.639750,-0.752437 51.639644,-0.752319 51.639625,-0.751747 51.639599,-0.751271 51.639506,-0.751081 51.639505,-0.751130 51.639382)))",Hughenden Avenue,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHUG
LPLE,,,2021-01-08,"MULTIPOLYGON (((-0.833979 51.619961,-0.834038 51.620134,-0.833914 51.620161,-0.833905 51.620293,-0.833364 51.620284,-0.833567 51.620913,-0.832772 51.620941,-0.832698 51.620278,-0.832674 51.619526,-0.832697 51.619489,-0.832727 51.619495,-0.832939 51.619069,-0.833020 51.618978,-0.833095 51.618968,-0.833137 51.619023,-0.833324 51.619028,-0.833366 51.619084,-0.833886 51.618948,-0.834002 51.619144,-0.833600 51.619257,-0.833638 51.619288,-0.833658 51.619473,-0.833785 51.619640,-0.833833 51.619640,-0.833939 51.619766,-0.833979 51.619961)))",Lane End Industrial Park,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLE
LPHW,,,2021-01-08,"MULTIPOLYGON (((-0.722767 51.618700,-0.722456 51.618983,-0.722353 51.619012,-0.721958 51.618586,-0.722012 51.618567,-0.721608 51.618113,-0.722160 51.617921,-0.722410 51.618194,-0.722493 51.618202,-0.722575 51.618290,-0.722639 51.618320,-0.722850 51.618321,-0.722990 51.618381,-0.722902 51.618461,-0.722938 51.618545,-0.722767 51.618700)))",High Wycombe Business Park,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW
LPLGH,,,2021-01-08,"MULTIPOLYGON (((-0.764024 51.631385,-0.763702 51.631664,-0.763550 51.631863,-0.763417 51.631814,-0.763273 51.631976,-0.763113 51.631911,-0.763291 51.631698,-0.763006 51.631601,-0.763157 51.631414,-0.762786 51.631325,-0.762938 51.631036,-0.763829 51.631265,-0.764024 51.631385)))",Leigh Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLGH
LPDAW,,,2021-01-08,"MULTIPOLYGON (((-0.745169 51.614841,-0.745415 51.614659,-0.745932 51.614362,-0.746168 51.614357,-0.746926 51.614460,-0.747030 51.614498,-0.747177 51.614635,-0.747277 51.614607,-0.747593 51.614946,-0.747746 51.615163,-0.747450 51.615179,-0.747203 51.615114,-0.747199 51.615091,-0.747015 51.615266,-0.745935 51.615507,-0.745818 51.614979,-0.745468 51.614984,-0.745169 51.614841)))",Daws Hill Employment Area,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPDAW
LPMB,,,2021-01-08,"MULTIPOLYGON (((-0.705916 51.576887,-0.705849 51.576829,-0.705996 51.576518,-0.706040 51.576163,-0.705990 51.576040,-0.706538 51.576271,-0.706601 51.576210,-0.706850 51.576320,-0.706644 51.576487,-0.706883 51.576578,-0.706759 51.576696,-0.706809 51.576709,-0.706416 51.577044,-0.705916 51.576887)),((-0.706630 51.576977,-0.706909 51.576747,-0.707424 51.576957,-0.707219 51.577166,-0.706630 51.576977)))",Meadow Bank,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMB
