development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
LPHW18,,,2021-01-08,"MULTIPOLYGON (((-0.752702 51.627069,-0.751978 51.626970,-0.751793 51.626860,-0.751760 51.626742,-0.751903 51.626554,-0.752225 51.626260,-0.752795 51.626547,-0.752855 51.626811,-0.752702 51.627069)))",Office Outlet site,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW18
LPPR13,,,2021-01-08,"MULTIPOLYGON (((-0.832217 51.725461,-0.832042 51.725359,-0.831512 51.724849,-0.831199 51.724616,-0.830838 51.724422,-0.830073 51.724089,-0.829628 51.723788,-0.829532 51.723617,-0.829550 51.723521,-0.829628 51.723392,-0.829772 51.723249,-0.829964 51.723123,-0.830101 51.723064,-0.830214 51.723071,-0.830962 51.723568,-0.831505 51.723827,-0.832122 51.724259,-0.832176 51.724307,-0.832262 51.724492,-0.832309 51.724770,-0.832465 51.725289,-0.832388 51.725445,-0.832217 51.725461)))",Land Fronting New Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPPR13
LPPR14,,,2021-01-08,"MULTIPOLYGON (((-0.829396 51.723332,-0.829195 51.723379,-0.829002 51.723361,-0.828347 51.722900,-0.829058 51.722530,-0.829305 51.722707,-0.829166 51.722782,-0.829236 51.722831,-0.829425 51.722729,-0.829584 51.722886,-0.829419 51.722974,-0.829687 51.723177,-0.829396 51.723332)))",Land South of Horns Lane,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPPR14
