development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
NBSB,,,2021-01-08,"MULTIPOLYGON (((-0.869477 51.713677,-0.869063 51.712850,-0.869048 51.712712,-0.868878 51.712457,-0.870441 51.712167,-0.870631 51.712521,-0.871133 51.712371,-0.872053 51.712033,-0.873018 51.711788,-0.873427 51.712288,-0.873516 51.712364,-0.873554 51.712348,-0.873773 51.712625,-0.874125 51.712585,-0.874833 51.712470,-0.874682 51.712206,-0.875225 51.712047,-0.875199 51.712002,-0.875678 51.711861,-0.875778 51.711960,-0.877607 51.711480,-0.877562 51.711419,-0.878081 51.711292,-0.878305 51.711679,-0.878657 51.713051,-0.878748 51.713327,-0.878850 51.713446,-0.878908 51.713631,-0.879667 51.713325,-0.879980 51.713684,-0.880270 51.713912,-0.880073 51.714023,-0.879960 51.714178,-0.880254 51.714586,-0.880231 51.714620,-0.880663 51.715138,-0.881572 51.714865,-0.882758 51.716257,-0.881999 51.716522,-0.882283 51.716885,-0.882249 51.716946,-0.882264 51.717038,-0.882480 51.717258,-0.881387 51.717738,-0.880974 51.717167,-0.880630 51.716826,-0.879874 51.715809,-0.880030 51.715732,-0.879710 51.715429,-0.879412 51.715205,-0.879020 51.715122,-0.879043 51.715016,-0.879320 51.714808,-0.879356 51.714660,-0.879486 51.714610,-0.879057 51.714111,-0.878763 51.714174,-0.878733 51.714030,-0.878604 51.713852,-0.878368 51.713790,-0.877460 51.713886,-0.877337 51.713862,-0.877207 51.713708,-0.875264 51.714157,-0.874598 51.714271,-0.874315 51.713978,-0.874272 51.713851,-0.873979 51.713498,-0.873722 51.713322,-0.873706 51.713386,-0.873354 51.713564,-0.872657 51.713816,-0.871740 51.714056,-0.871251 51.714145,-0.871085 51.714159,-0.870865 51.714113,-0.870747 51.714463,-0.870755 51.714719,-0.870622 51.715091,-0.870667 51.715611,-0.870747 51.715982,-0.870951 51.716623,-0.870094 51.716710,-0.869975 51.716297,-0.870070 51.716286,-0.869716 51.714740,-0.869968 51.714715,-0.870016 51.713702,-0.869605 51.713743,-0.869493 51.713731,-0.869477 51.713677)))",Bledlow Settlement Boundary,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NBSB
NPP1,,,2021-01-08,"MULTIPOLYGON (((-0.822362 51.676133,-0.822200 51.676242,-0.822211 51.676286,-0.822156 51.676338,-0.821453 51.675908,-0.821898 51.675619,-0.821774 51.675543,-0.821614 51.675570,-0.822666 51.674961,-0.822697 51.674983,-0.823329 51.674665,-0.823586 51.674826,-0.823680 51.674797,-0.824084 51.675128,-0.824463 51.675039,-0.823762 51.674490,-0.823997 51.674356,-0.824822 51.673988,-0.825390 51.673622,-0.825615 51.673537,-0.826242 51.674200,-0.826544 51.674593,-0.825684 51.674717,-0.825665 51.674952,-0.825778 51.675146,-0.826104 51.675538,-0.826884 51.676217,-0.827836 51.676876,-0.827925 51.677108,-0.828030 51.677249,-0.828230 51.677449,-0.828420 51.677565,-0.827848 51.677785,-0.827333 51.677282,-0.826673 51.676876,-0.826101 51.676368,-0.826006 51.676227,-0.825957 51.676017,-0.825881 51.675935,-0.825567 51.675734,-0.824725 51.675079,-0.824468 51.675091,-0.824240 51.675141,-0.824902 51.675783,-0.824946 51.675764,-0.825125 51.675894,-0.825948 51.676558,-0.826007 51.676537,-0.826304 51.676812,-0.827703 51.678247,-0.827602 51.678275,-0.828246 51.678980,-0.827233 51.679580,-0.827180 51.679535,-0.827180 51.679495,-0.825953 51.678429,-0.825903 51.678423,-0.825782 51.678314,-0.825577 51.678055,-0.825418 51.677936,-0.825081 51.677470,-0.824717 51.676865,-0.824737 51.676821,-0.824701 51.676747,-0.824623 51.676685,-0.824298 51.676205,-0.824085 51.675954,-0.823463 51.675337,-0.823289 51.675367,-0.822862 51.675639,-0.822528 51.675999,-0.822362 51.676133)))",South Saunderton Settlement Boundary,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NPP1
NPP1,,,2021-01-08,"MULTIPOLYGON (((-0.843089 51.669516,-0.843051 51.669476,-0.842865 51.669426,-0.842554 51.669443,-0.841558 51.669079,-0.841494 51.669053,-0.841420 51.668890,-0.841678 51.668588,-0.842409 51.668877,-0.842499 51.668806,-0.844017 51.669450,-0.844696 51.668769,-0.845275 51.669093,-0.845428 51.669214,-0.845442 51.669328,-0.845630 51.669517,-0.845625 51.669585,-0.846823 51.670360,-0.848198 51.671433,-0.849337 51.672529,-0.849845 51.673104,-0.850059 51.673040,-0.850308 51.673345,-0.850865 51.673920,-0.852325 51.674818,-0.852628 51.674681,-0.853443 51.675200,-0.853702 51.675592,-0.853900 51.675775,-0.853625 51.675884,-0.853633 51.675921,-0.853768 51.675989,-0.853275 51.676275,-0.853373 51.676450,-0.852522 51.676804,-0.852391 51.676786,-0.852207 51.676861,-0.851292 51.676327,-0.850794 51.675991,-0.850708 51.676013,-0.850308 51.675521,-0.850879 51.675437,-0.850897 51.675406,-0.850788 51.675295,-0.850734 51.675320,-0.850358 51.675322,-0.849774 51.674722,-0.849271 51.674649,-0.848233 51.675079,-0.847937 51.675389,-0.847864 51.675355,-0.847818 51.675288,-0.846981 51.674937,-0.846636 51.674629,-0.846940 51.674384,-0.847019 51.674247,-0.846804 51.674175,-0.846143 51.673829,-0.845407 51.673505,-0.844224 51.674804,-0.843197 51.676475,-0.843152 51.676621,-0.843383 51.676636,-0.843316 51.677155,-0.843241 51.677335,-0.842781 51.677618,-0.842158 51.677224,-0.842328 51.677118,-0.842464 51.676944,-0.842427 51.676739,-0.841906 51.676936,-0.840842 51.676515,-0.841183 51.676176,-0.841413 51.676124,-0.841845 51.675070,-0.841774 51.675042,-0.841904 51.674870,-0.841951 51.674890,-0.842155 51.674676,-0.842057 51.674638,-0.842260 51.674396,-0.841949 51.674279,-0.842551 51.673723,-0.843966 51.672326,-0.844185 51.672074,-0.844201 51.672012,-0.844926 51.671308,-0.844766 51.671172,-0.844467 51.670999,-0.843807 51.670738,-0.844628 51.670229,-0.844330 51.670056,-0.844357 51.670038,-0.844001 51.669875,-0.843905 51.669896,-0.843684 51.669837,-0.843603 51.669873,-0.843453 51.669816,-0.843089 51.669516),(-0.846030 51.672435,-0.845884 51.672599,-0.845727 51.672718,-0.846889 51.673086,-0.847590 51.672564,-0.846999 51.672064,-0.846964 51.672087,-0.846576 51.671827,-0.846030 51.672435)))",Bledlow Ridge Settlement Boundary,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NPP1
NPP1,,,2021-01-08,"MULTIPOLYGON (((-0.876807 51.722931,-0.876112 51.722250,-0.875810 51.722399,-0.875493 51.722314,-0.875255 51.722136,-0.875170 51.722024,-0.874451 51.722473,-0.874377 51.723079,-0.874084 51.723074,-0.874047 51.722913,-0.873996 51.722871,-0.873921 51.722376,-0.874595 51.722146,-0.874384 51.721843,-0.874069 51.721922,-0.873925 51.721718,-0.874590 51.721508,-0.874119 51.720788,-0.873309 51.721036,-0.873223 51.720893,-0.873376 51.720782,-0.873350 51.720772,-0.873465 51.720621,-0.873515 51.720459,-0.873587 51.720358,-0.873450 51.720270,-0.873316 51.720108,-0.874006 51.719745,-0.874389 51.720097,-0.874772 51.720241,-0.875600 51.719761,-0.875880 51.719923,-0.876159 51.720140,-0.875049 51.720693,-0.875391 51.721028,-0.875750 51.720857,-0.876656 51.721551,-0.877487 51.721285,-0.877708 51.721582,-0.878093 51.721486,-0.878261 51.721829,-0.877959 51.721894,-0.877935 51.721912,-0.877960 51.721959,-0.877489 51.722116,-0.877357 51.722353,-0.877570 51.722605,-0.876807 51.722931)))",Pitch Green Settlement Boundary,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NPP1
NPP12,,,2021-01-08,"MULTIPOLYGON (((-0.846030 51.672435,-0.846576 51.671827,-0.846964 51.672087,-0.846999 51.672064,-0.847590 51.672564,-0.846889 51.673086,-0.845727 51.672718,-0.845884 51.672599,-0.846030 51.672435)))",Bledlow Ridge School,local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NPP12
NPP3,,,2021-01-08,"MULTIPOLYGON (((-0.833818 51.677343,-0.835599 51.679656,-0.835608 51.679683,-0.835308 51.679784,-0.835600 51.680164,-0.835367 51.680279,-0.835346 51.680373,-0.834426 51.680720,-0.834261 51.680625,-0.834090 51.680693,-0.833993 51.680609,-0.833391 51.680848,-0.833258 51.680737,-0.832614 51.680996,-0.832434 51.680817,-0.832496 51.680792,-0.832069 51.680372,-0.832320 51.680273,-0.832195 51.680056,-0.831527 51.679400,-0.831731 51.679302,-0.831135 51.678689,-0.831049 51.678717,-0.831007 51.678677,-0.833257 51.677838,-0.833345 51.677867,-0.833456 51.677976,-0.833423 51.678022,-0.834322 51.678901,-0.834490 51.678864,-0.834323 51.678677,-0.834445 51.678640,-0.834584 51.678828,-0.834632 51.678811,-0.834617 51.678701,-0.834567 51.678649,-0.833987 51.678198,-0.833594 51.677752,-0.833727 51.677675,-0.833541 51.677438,-0.833818 51.677343)))","Molins, South Saunderton",local-authority-eng:BUC,,development-policy-area/local-authority-eng/BUC/NPP3
