geography,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
development-policy-area:LPHW4,,,2021-01-08,"MULTIPOLYGON (((-0.726896 51.613998,-0.727145 51.614243,-0.727299 51.614487,-0.727653 51.614796,-0.728507 51.615220,-0.728536 51.615254,-0.728542 51.615394,-0.728606 51.615478,-0.729113 51.615630,-0.729599 51.615876,-0.729632 51.615922,-0.729574 51.616077,-0.729368 51.616426,-0.728647 51.616992,-0.728526 51.617143,-0.728065 51.617259,-0.727678 51.617430,-0.726537 51.617535,-0.725497 51.616945,-0.725542 51.616922,-0.725037 51.616488,-0.724854 51.616587,-0.724373 51.616316,-0.723157 51.616811,-0.723677 51.617078,-0.723198 51.617379,-0.722876 51.617154,-0.722712 51.617246,-0.722651 51.617209,-0.722503 51.617086,-0.722416 51.616863,-0.722241 51.616696,-0.722230 51.616597,-0.722357 51.616395,-0.722503 51.616275,-0.722862 51.616069,-0.723182 51.615745,-0.724139 51.614883,-0.724384 51.614709,-0.724954 51.614498,-0.726896 51.613998)))",Abbey Barn North,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW4
development-policy-area:LPHW5,,,2021-01-08,"MULTIPOLYGON (((-0.742693 51.613496,-0.743353 51.613734,-0.744097 51.613947,-0.745916 51.614375,-0.745366 51.614691,-0.745081 51.614910,-0.744482 51.615292,-0.744255 51.615480,-0.743969 51.615795,-0.743731 51.616397,-0.743620 51.616569,-0.741989 51.615740,-0.739258 51.617776,-0.738686 51.617515,-0.738102 51.617378,-0.737926 51.617283,-0.737879 51.617224,-0.737848 51.617298,-0.737864 51.617344,-0.737673 51.617422,-0.736985 51.616001,-0.736883 51.615477,-0.736819 51.615395,-0.736669 51.614947,-0.736615 51.614905,-0.736099 51.614766,-0.735098 51.614569,-0.734607 51.614412,-0.734126 51.614160,-0.733731 51.614194,-0.732469 51.613673,-0.732338 51.613680,-0.732159 51.613804,-0.731580 51.613648,-0.731444 51.613535,-0.731267 51.613452,-0.729932 51.613143,-0.730770 51.612899,-0.731220 51.612818,-0.732112 51.612406,-0.733423 51.611903,-0.734747 51.611737,-0.735483 51.611605,-0.735897 51.611479,-0.736284 51.611307,-0.738080 51.611746,-0.739066 51.612041,-0.740292 51.612475,-0.742693 51.613496)))",Abbey Barn South and Wycombe Summit,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW5
development-policy-area:LPHW6,,,2021-01-08,"MULTIPOLYGON (((-0.708131 51.625181,-0.709297 51.625629,-0.708330 51.626551,-0.708901 51.626791,-0.708603 51.627041,-0.708223 51.627430,-0.708051 51.627690,-0.707735 51.628067,-0.707166 51.628885,-0.707025 51.629030,-0.706976 51.629150,-0.706541 51.629808,-0.706273 51.630128,-0.705989 51.630387,-0.705420 51.630800,-0.705234 51.630972,-0.704396 51.632058,-0.703954 51.632524,-0.701507 51.633140,-0.701416 51.633126,-0.700678 51.633319,-0.700499 51.633292,-0.700414 51.633342,-0.700357 51.633340,-0.700232 51.633244,-0.699786 51.632855,-0.699838 51.632822,-0.699586 51.632539,-0.699430 51.632284,-0.699507 51.632208,-0.699744 51.631813,-0.700221 51.631315,-0.700878 51.630827,-0.701249 51.630505,-0.701628 51.629529,-0.701960 51.629096,-0.702132 51.628758,-0.702262 51.628174,-0.702355 51.628086,-0.702524 51.628008,-0.702612 51.627881,-0.702753 51.627130,-0.702898 51.625991,-0.702854 51.625781,-0.702645 51.625560,-0.702786 51.625466,-0.703434 51.624233,-0.704114 51.624235,-0.703991 51.623939,-0.703676 51.623432,-0.703581 51.623064,-0.703565 51.622656,-0.703596 51.622286,-0.703862 51.621549,-0.704040 51.621262,-0.704236 51.621034,-0.704810 51.620697,-0.704592 51.620592,-0.705694 51.619974,-0.705993 51.619875,-0.705995 51.619850,-0.705247 51.619459,-0.706013 51.618915,-0.706213 51.618711,-0.706283 51.618586,-0.706296 51.618360,-0.706255 51.618195,-0.705891 51.617739,-0.705816 51.617597,-0.706547 51.617460,-0.706498 51.617298,-0.705953 51.617312,-0.705689 51.617355,-0.705671 51.617273,-0.705704 51.617147,-0.705914 51.616881,-0.706283 51.616643,-0.706491 51.616560,-0.707084 51.616407,-0.707766 51.616721,-0.708721 51.617369,-0.709391 51.617765,-0.710396 51.618240,-0.710716 51.618599,-0.709925 51.618878,-0.710300 51.619166,-0.709468 51.619835,-0.710807 51.620423,-0.711253 51.620357,-0.712360 51.619376,-0.713733 51.620330,-0.714608 51.620854,-0.715174 51.621137,-0.714934 51.621371,-0.715441 51.621616,-0.715303 51.621729,-0.714939 51.622151,-0.714742 51.622296,-0.714530 51.622420,-0.714149 51.622505,-0.713777 51.622657,-0.713307 51.622924,-0.712891 51.623220,-0.712372 51.622995,-0.711633 51.622806,-0.711154 51.623157,-0.710929 51.623196,-0.710307 51.622970,-0.708131 51.625181)))",Gomm Valley and Ashwells,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW6
development-policy-area:LPHW7,,,2021-01-08,"MULTIPOLYGON (((-0.729116 51.646187,-0.729244 51.646144,-0.730575 51.646617,-0.730667 51.646483,-0.730717 51.646495,-0.731668 51.645169,-0.732888 51.645517,-0.734198 51.645984,-0.734331 51.646078,-0.734367 51.646191,-0.733773 51.647525,-0.732704 51.648063,-0.732659 51.648119,-0.732227 51.648382,-0.731295 51.649171,-0.730388 51.649694,-0.728959 51.650288,-0.727953 51.650504,-0.726271 51.650744,-0.723864 51.650948,-0.723250 51.648421,-0.724162 51.648308,-0.724924 51.648175,-0.725583 51.647995,-0.726225 51.647921,-0.726392 51.647882,-0.726457 51.647836,-0.726547 51.647858,-0.726670 51.647747,-0.726856 51.647657,-0.727435 51.647271,-0.727675 51.647168,-0.728379 51.646618,-0.728769 51.646461,-0.729116 51.646187)))",Terriers Farm and Terriers House,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW7
development-policy-area:LPHW9,,,2021-01-08,"MULTIPOLYGON (((-0.749873 51.643423,-0.748054 51.643213,-0.748109 51.642168,-0.748249 51.642186,-0.748254 51.642163,-0.748816 51.642136,-0.749089 51.642180,-0.749758 51.642103,-0.749805 51.642242,-0.749932 51.643047,-0.749873 51.643423)))",Part of Greens Farm Glynswood,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW9
development-policy-area:LPHW10,,,2021-01-08,"MULTIPOLYGON (((-0.796856 51.614656,-0.796288 51.614654,-0.796260 51.614257,-0.796194 51.613991,-0.795848 51.613563,-0.795417 51.613113,-0.795953 51.612856,-0.796636 51.613035,-0.798139 51.613542,-0.798431 51.613711,-0.798785 51.613974,-0.797834 51.614091,-0.796817 51.614092,-0.796856 51.614656)))",Horns Lane,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW10
development-policy-area:LPHW11,,,2021-01-08,"MULTIPOLYGON (((-0.798545 51.609759,-0.797955 51.609779,-0.795386 51.609306,-0.795695 51.608605,-0.795804 51.608619,-0.795994 51.608581,-0.797256 51.608810,-0.797395 51.608894,-0.797424 51.609046,-0.797640 51.609053,-0.797677 51.608972,-0.798447 51.608965,-0.798810 51.609021,-0.798858 51.609151,-0.798853 51.609276,-0.798545 51.609759)))",Clay Lane,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW11
development-policy-area:LPHW12,,,2021-01-08,"MULTIPOLYGON (((-0.765398 51.631822,-0.765181 51.631740,-0.764910 51.631977,-0.764791 51.632042,-0.764786 51.632093,-0.764715 51.632152,-0.764561 51.632091,-0.764600 51.632051,-0.764472 51.632009,-0.764120 51.631974,-0.764203 51.631973,-0.764530 51.631817,-0.763884 51.631285,-0.763188 51.631100,-0.763248 51.631022,-0.763331 51.631042,-0.763372 51.630975,-0.763486 51.631005,-0.763690 51.630630,-0.764319 51.630781,-0.764527 51.630864,-0.764460 51.630929,-0.765631 51.631382,-0.765672 51.631342,-0.765826 51.631401,-0.765398 51.631822)))",Leigh Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW12
development-policy-area:LPHW13,,,2021-01-08,"MULTIPOLYGON (((-0.729194 51.621289,-0.729108 51.621359,-0.728203 51.620298,-0.727292 51.619354,-0.728764 51.619580,-0.729171 51.619702,-0.729230 51.619778,-0.729323 51.619806,-0.729476 51.619797,-0.730472 51.620103,-0.730544 51.620149,-0.730436 51.620310,-0.730378 51.620287,-0.729194 51.621289)))",Former Bassetsbury Allotments,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW13
development-policy-area:LPHW14,,,2021-01-08,"MULTIPOLYGON (((-0.705870 51.657840,-0.705263 51.658225,-0.704111 51.657483,-0.704145 51.657413,-0.704391 51.657491,-0.704851 51.657197,-0.705224 51.657402,-0.705870 51.657840)))",Highbury Works / Hazlemere Coach Works,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW14
development-policy-area:LPMR6,,,2021-01-08,"MULTIPOLYGON (((-0.783469 51.580036,-0.782735 51.580212,-0.782430 51.579729,-0.783145 51.579527,-0.783469 51.580036)))",Seymour Court Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMR6
development-policy-area:LPPR11,,,2021-01-08,"MULTIPOLYGON (((-0.837120 51.715736,-0.836582 51.715191,-0.836239 51.715212,-0.836265 51.715237,-0.835572 51.715456,-0.835507 51.715388,-0.836765 51.715015,-0.836581 51.714867,-0.836789 51.714747,-0.836939 51.714702,-0.837130 51.714703,-0.837503 51.714792,-0.838111 51.714852,-0.838243 51.714947,-0.838722 51.715154,-0.839319 51.715551,-0.840098 51.716229,-0.839990 51.716347,-0.838508 51.717184,-0.838154 51.716955,-0.837447 51.716400,-0.836869 51.715833,-0.837120 51.715736)))",Land rear of Poppy Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPPR11
