geography,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
development-policy-area:LPPR16,,,2021-01-08,"MULTIPOLYGON (((-0.841959 51.718211,-0.841733 51.718128,-0.841846 51.717201,-0.841823 51.717164,-0.842159 51.717115,-0.842934 51.717083,-0.842939 51.717149,-0.843118 51.717147,-0.843406 51.717074,-0.843581 51.717557,-0.843904 51.717556,-0.843893 51.717747,-0.843828 51.717755,-0.843813 51.717815,-0.843813 51.718479,-0.842162 51.718558,-0.842023 51.718531,-0.842038 51.718511,-0.841954 51.718483,-0.841990 51.718278,-0.841959 51.718211)))",Land at Princes Risborough Station,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPPR16
development-policy-area:LPBE1,,,2021-01-08,"MULTIPOLYGON (((-0.701897 51.579808,-0.701937 51.579826,-0.697148 51.581413,-0.695101 51.579993,-0.693957 51.579044,-0.694803 51.578702,-0.696432 51.578189,-0.696702 51.578132,-0.697324 51.578079,-0.697524 51.578257,-0.697532 51.578347,-0.697677 51.578373,-0.697866 51.578483,-0.698350 51.578826,-0.698538 51.578741,-0.698850 51.578865,-0.698841 51.578890,-0.699563 51.579232,-0.699603 51.579256,-0.699569 51.579296,-0.699699 51.579355,-0.699785 51.579343,-0.699874 51.579266,-0.699935 51.579290,-0.700072 51.579156,-0.700914 51.579169,-0.701031 51.579479,-0.701375 51.579402,-0.701469 51.579632,-0.701897 51.579808)))",Slate Meadow,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBE1
development-policy-area:LPBE2,,,2021-01-08,"MULTIPOLYGON (((-0.698549 51.577172,-0.698462 51.577204,-0.697468 51.576756,-0.697417 51.576798,-0.696990 51.576606,-0.697337 51.576324,-0.698168 51.575332,-0.700016 51.575790,-0.701828 51.574046,-0.698926 51.573849,-0.699152 51.573194,-0.700088 51.573207,-0.700328 51.572730,-0.698758 51.572702,-0.699320 51.572074,-0.699406 51.571873,-0.699447 51.571591,-0.700921 51.571492,-0.701356 51.571499,-0.701356 51.571464,-0.703329 51.571472,-0.703341 51.571638,-0.703759 51.571644,-0.704493 51.571715,-0.704497 51.571635,-0.705538 51.571511,-0.706073 51.571493,-0.706239 51.571140,-0.706353 51.570683,-0.706565 51.570660,-0.706515 51.570902,-0.707118 51.570962,-0.706947 51.571365,-0.707319 51.571424,-0.705957 51.574273,-0.705853 51.574319,-0.705004 51.574261,-0.704770 51.574989,-0.703598 51.576484,-0.701199 51.575979,-0.699003 51.576998,-0.698549 51.577172)))",Hollands Farm,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBE2
development-policy-area:LPRUR1,,,2021-01-08,"MULTIPOLYGON (((-0.839577 51.618965,-0.839484 51.619024,-0.839332 51.619393,-0.838835 51.619211,-0.838592 51.619194,-0.838628 51.618840,-0.838518 51.618848,-0.838516 51.618819,-0.838616 51.618103,-0.839615 51.618171,-0.839577 51.618965)))",Land south of Finings Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR1
development-policy-area:LPRUR2,,,2021-01-08,"MULTIPOLYGON (((-0.828965 51.616324,-0.828586 51.616094,-0.828512 51.616000,-0.828325 51.615919,-0.827411 51.615222,-0.828824 51.615019,-0.829127 51.615531,-0.829634 51.615464,-0.830193 51.615841,-0.829552 51.615988,-0.829582 51.616066,-0.829348 51.616135,-0.828965 51.616324)))",Land between Chalky Field and Marlow Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR2
development-policy-area:LPRUR3,,,2021-01-08,"MULTIPOLYGON (((-0.829597 51.624984,-0.828566 51.624906,-0.827685 51.624673,-0.827911 51.624518,-0.828815 51.624428,-0.829018 51.624344,-0.828900 51.624239,-0.829579 51.624218,-0.829585 51.624055,-0.830103 51.623998,-0.830126 51.624292,-0.830177 51.624283,-0.830185 51.624310,-0.830222 51.624991,-0.829597 51.624984)))",Land at Sidney House,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR3
development-policy-area:LPRUR7,,,2021-01-08,"MULTIPOLYGON (((-0.783874 51.674348,-0.783470 51.673898,-0.782782 51.673574,-0.782858 51.673536,-0.782707 51.673447,-0.783236 51.673202,-0.784485 51.672513,-0.784736 51.672683,-0.785831 51.673754,-0.783874 51.674348)))",Land off Clappins Lane,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR7
development-policy-area:LPRUR8,,,2021-01-08,"MULTIPOLYGON (((-0.913825 51.657506,-0.913584 51.657807,-0.912680 51.657388,-0.912133 51.657820,-0.913080 51.658252,-0.912918 51.658414,-0.912815 51.658315,-0.912786 51.658187,-0.912500 51.658056,-0.911938 51.658618,-0.912484 51.658827,-0.912406 51.658901,-0.911866 51.658699,-0.911572 51.659011,-0.909934 51.658173,-0.909690 51.658352,-0.910432 51.658719,-0.909914 51.659222,-0.909175 51.658998,-0.908319 51.658845,-0.908385 51.658479,-0.908367 51.658437,-0.910679 51.657116,-0.911368 51.656546,-0.912948 51.657159,-0.912970 51.657136,-0.913825 51.657506)))",Land south of Mill Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR8
development-policy-area:LPRUR9,,,2021-01-08,"MULTIPOLYGON (((-0.910147 51.662074,-0.909979 51.662464,-0.909165 51.662341,-0.908463 51.662189,-0.908353 51.662124,-0.908386 51.662005,-0.908825 51.662072,-0.909059 51.661459,-0.910314 51.661604,-0.910147 51.662074)))",Land at Wood Farm,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR9
development-policy-area:LPRUR11,,,2021-01-08,"MULTIPOLYGON (((-0.787108 51.598400,-0.787127 51.598713,-0.787194 51.599034,-0.787147 51.599190,-0.786719 51.599290,-0.785524 51.599332,-0.785386 51.598456,-0.787108 51.598400)))",Land at Heavens Above,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR11
development-policy-area:LPRUR12,,,2021-01-08,"MULTIPOLYGON (((-0.735989 51.658512,-0.736281 51.658477,-0.736392 51.658413,-0.736493 51.658294,-0.736552 51.658068,-0.736467 51.657615,-0.737557 51.657021,-0.737479 51.656286,-0.737518 51.656077,-0.737281 51.655691,-0.736880 51.655137,-0.737021 51.655090,-0.737476 51.655775,-0.738241 51.656706,-0.738585 51.656882,-0.739327 51.657123,-0.739575 51.657268,-0.739719 51.657410,-0.739973 51.657917,-0.740160 51.658540,-0.740204 51.658880,-0.740182 51.659137,-0.740098 51.659295,-0.739959 51.659776,-0.739808 51.660117,-0.739635 51.659948,-0.739266 51.659768,-0.739064 51.659733,-0.738471 51.659751,-0.738239 51.659729,-0.737391 51.659434,-0.737073 51.659359,-0.736796 51.659353,-0.736432 51.659414,-0.736259 51.659495,-0.736082 51.659654,-0.736233 51.659275,-0.736263 51.659080,-0.736105 51.658664,-0.735989 51.658512)))",Uplands Conference Centre,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPRUR12
development-policy-area:LPD21A,,,2021-01-08,"MULTIPOLYGON (((-0.742695 51.636338,-0.742520 51.636528,-0.741578 51.636188,-0.741728 51.636023,-0.742009 51.636084,-0.742695 51.636338)))",Edie Pusey House 9A Amersham Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21A
development-policy-area:LPD21B,,,2021-01-08,"MULTIPOLYGON (((-0.778126 51.623639,-0.777312 51.624211,-0.777059 51.624487,-0.776430 51.624303,-0.776525 51.624171,-0.777234 51.623732,-0.777623 51.623336,-0.777771 51.623118,-0.778379 51.623462,-0.778126 51.623639)))",Delafield Heights South (Longland Way / Pettifer Way (South)) HW,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21B
development-policy-area:LPD21C,,,2021-01-08,"MULTIPOLYGON (((-0.729077 51.623492,-0.728939 51.623819,-0.728531 51.623753,-0.728662 51.623433,-0.729077 51.623492)))",Frank Hudson Furniture Factory Rosebery Avenue High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21C
development-policy-area:LPD21D,,,2021-01-08,"MULTIPOLYGON (((-0.802679 51.606883,-0.802619 51.606661,-0.803096 51.606597,-0.803528 51.606477,-0.803738 51.606399,-0.804153 51.606166,-0.804733 51.606376,-0.804370 51.607191,-0.804316 51.607237,-0.803896 51.607265,-0.803809 51.607322,-0.803692 51.607278,-0.803744 51.606922,-0.802679 51.606883)))",Notcutts Garden Centre Clay Lane High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21D
development-policy-area:LPD21E,,,2021-01-08,"MULTIPOLYGON (((-0.776832 51.627140,-0.776889 51.626933,-0.776875 51.626734,-0.776841 51.626710,-0.777251 51.625727,-0.777517 51.624754,-0.778116 51.624860,-0.778118 51.624910,-0.777976 51.625201,-0.777995 51.625272,-0.778499 51.625371,-0.778409 51.625644,-0.778210 51.626757,-0.777751 51.626825,-0.776832 51.627140)))",Delafield Heights North (Longland Way / Pettifer Way (North)) High Wyc,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21E
development-policy-area:LPD21F,,,2021-01-08,"MULTIPOLYGON (((-0.748946 51.628503,-0.748877 51.628483,-0.749024 51.628251,-0.749087 51.628269,-0.748946 51.628503)))",27 High Street High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21F
development-policy-area:LPD21G,,,2021-01-08,"MULTIPOLYGON (((-0.822707 51.675813,-0.822183 51.675563,-0.821817 51.675846,-0.822258 51.676107,-0.822360 51.676133,-0.822175 51.676321,-0.821964 51.676228,-0.821451 51.675908,-0.821896 51.675619,-0.821718 51.675510,-0.822662 51.674963,-0.822694 51.674985,-0.822743 51.674961,-0.823115 51.675301,-0.823106 51.675488,-0.822980 51.675561,-0.822707 51.675813)))",Coal Yard Smalldean Lane Saunderton,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21G
development-policy-area:LPD21H,,,2021-01-08,"MULTIPOLYGON (((-0.710847 51.582588,-0.710554 51.582789,-0.709920 51.582378,-0.710110 51.582277,-0.710847 51.582588)))",Windrush House Bourne End,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21H
development-policy-area:LPD21I,,,2021-01-08,"MULTIPOLYGON (((-0.772050 51.634322,-0.771795 51.634297,-0.771878 51.633960,-0.769765 51.633765,-0.769821 51.633552,-0.770029 51.633579,-0.770064 51.633449,-0.772440 51.633680,-0.772297 51.634285,-0.772211 51.634332,-0.772050 51.634322)),((-0.769787 51.633851,-0.770295 51.633901,-0.770209 51.634146,-0.769683 51.634095,-0.769715 51.633960,-0.769766 51.633950,-0.769787 51.633851)))",Dashwood Avenue High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21I
development-policy-area:LPD21J,,,2021-01-08,"MULTIPOLYGON (((-0.770064 51.633448,-0.770029 51.633579,-0.769819 51.633560,-0.769852 51.633430,-0.770064 51.633448)))",34 Dashwood Avenue High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21J
development-policy-area:LPD21K,,,2021-01-08,"MULTIPOLYGON (((-0.771155 51.633111,-0.771142 51.633162,-0.770208 51.633071,-0.770231 51.632979,-0.770297 51.632984,-0.770326 51.632902,-0.770000 51.632871,-0.770017 51.632818,-0.770097 51.632789,-0.771211 51.632895,-0.771155 51.633111)))",Ogilvie Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21K
development-policy-area:LPD21L,,,2021-01-08,"MULTIPOLYGON (((-0.727137 51.626000,-0.727125 51.626030,-0.726017 51.625853,-0.726133 51.625548,-0.726771 51.625750,-0.727137 51.626000)))",Land to the rear of Quebec Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21L
development-policy-area:LPD21M,,,2021-01-08,"MULTIPOLYGON (((-0.735836 51.626198,-0.735676 51.626505,-0.735516 51.626447,-0.735527 51.626430,-0.735199 51.626359,-0.735316 51.626138,-0.735729 51.626218,-0.735758 51.626175,-0.735637 51.626140,-0.735811 51.625823,-0.736426 51.625986,-0.736412 51.626007,-0.736058 51.625920,-0.735995 51.626019,-0.736339 51.626111,-0.736334 51.626132,-0.735943 51.626036,-0.735836 51.626198)))",Netley Works 89 Queens Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21M
development-policy-area:LPD21N,,,2021-01-08,"MULTIPOLYGON (((-0.780320 51.624870,-0.780074 51.624803,-0.780243 51.624478,-0.779792 51.624398,-0.779804 51.624365,-0.780202 51.624435,-0.780268 51.624398,-0.780847 51.623217,-0.781105 51.623265,-0.780920 51.623637,-0.780961 51.623650,-0.780960 51.623704,-0.781365 51.623765,-0.781353 51.623801,-0.780955 51.623732,-0.780908 51.623786,-0.780855 51.623781,-0.780320 51.624870)))",Garages between Chiltern Avenue and Rutland Avenue High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21N
development-policy-area:LPD21O,,,2021-01-08,"MULTIPOLYGON (((-0.722436 51.641787,-0.722386 51.642133,-0.722314 51.642126,-0.722367 51.641883,-0.721488 51.641822,-0.721510 51.641771,-0.721445 51.641690,-0.721483 51.641642,-0.721603 51.641596,-0.721553 51.641544,-0.722010 51.641376,-0.722436 51.641787)))",Garages at Tyzack Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21O
development-policy-area:LPD21P,,,2021-01-08,"MULTIPOLYGON (((-0.791121 51.618620,-0.790891 51.618603,-0.790922 51.618435,-0.791151 51.618451,-0.791121 51.618620)))",Garages at Havenfield Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21P
development-policy-area:LPD21Q,,,2021-01-08,"MULTIPOLYGON (((-0.764740 51.634002,-0.764505 51.633886,-0.764445 51.633876,-0.764563 51.633783,-0.764843 51.633922,-0.764740 51.634002)))",1-9 Shaftesbury Street High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21Q
development-policy-area:LPD21R,,,2021-01-08,"MULTIPOLYGON (((-0.768990 51.575168,-0.771475 51.574997,-0.771496 51.574970,-0.771681 51.575144,-0.771816 51.575223,-0.771134 51.575684,-0.770556 51.576193,-0.770272 51.576379,-0.768990 51.575168)))",Foxes Piece Marlow Buckinghamshire,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21R
development-policy-area:LPD21S,,,2021-01-08,"MULTIPOLYGON (((-0.799357 51.608279,-0.799091 51.608804,-0.797944 51.608878,-0.797885 51.607377,-0.797929 51.607375,-0.798185 51.608360,-0.799357 51.608279)))",Westside Fruit / The Apple Orchard Clay Lane High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21S
development-policy-area:LPD21T,,,2021-01-08,"MULTIPOLYGON (((-0.750908 51.578483,-0.750795 51.578498,-0.750748 51.578373,-0.750794 51.578261,-0.750641 51.578161,-0.750467 51.577907,-0.750453 51.577836,-0.750374 51.577823,-0.750277 51.577886,-0.749808 51.577611,-0.751147 51.576991,-0.751369 51.576949,-0.751799 51.577134,-0.752007 51.577032,-0.752338 51.577270,-0.752150 51.577366,-0.752358 51.577578,-0.752422 51.577723,-0.752797 51.577900,-0.751870 51.578192,-0.751090 51.578383,-0.750908 51.578483)))",Westhorpe House Westhorpe Park Little Marlow,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21T
development-policy-area:LPD21U,,,2021-01-08,"MULTIPOLYGON (((-0.702408 51.637799,-0.702343 51.637781,-0.702242 51.637683,-0.702825 51.637449,-0.702981 51.637582,-0.702408 51.637799)))",Sunnyside and St Johns House 16-18 St Johns Road High Wycombe,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21U
development-policy-area:LPD21V,,,2021-01-08,"MULTIPOLYGON (((-0.705100 51.660777,-0.702843 51.661222,-0.700415 51.659554,-0.698874 51.660197,-0.695192 51.657638,-0.697513 51.657069,-0.698357 51.657664,-0.699967 51.657191,-0.705100 51.660777)))",Land of Amersham Road incl. Tralee Farm,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21V
development-policy-area:LPD21W,,,2021-01-08,"MULTIPOLYGON (((-0.839339 51.724193,-0.839925 51.723664,-0.840345 51.723346,-0.841917 51.722305,-0.842631 51.721694,-0.843298 51.721069,-0.843429 51.721113,-0.843827 51.721523,-0.843845 51.722844,-0.843870 51.722858,-0.843960 51.723896,-0.844006 51.724150,-0.844360 51.725093,-0.845295 51.726635,-0.845923 51.727433,-0.846445 51.727984,-0.847640 51.728919,-0.848858 51.729688,-0.849658 51.730144,-0.851589 51.731017,-0.854077 51.732038,-0.854647 51.732240,-0.854286 51.732387,-0.853693 51.732745,-0.852351 51.733860,-0.852296 51.733917,-0.852318 51.733931,-0.852166 51.734030,-0.851810 51.734223,-0.851483 51.734354,-0.851063 51.734400,-0.850917 51.734472,-0.851004 51.734544,-0.851009 51.734584,-0.850764 51.734749,-0.848880 51.735666,-0.847601 51.736419,-0.846092 51.737170,-0.845339 51.737453,-0.844467 51.737695,-0.842539 51.738093,-0.840985 51.738500,-0.840297 51.738642,-0.839687 51.738716,-0.839491 51.738778,-0.839360 51.738879,-0.839033 51.739010,-0.836502 51.740276,-0.834190 51.741388,-0.830203 51.739626,-0.831828 51.738230,-0.830283 51.737609,-0.832202 51.735977,-0.831298 51.735437,-0.830790 51.735012,-0.830120 51.734748,-0.830158 51.734750,-0.830244 51.734670,-0.830246 51.734633,-0.830657 51.734152,-0.831358 51.733395,-0.834058 51.730227,-0.834651 51.729601,-0.835134 51.728982,-0.835265 51.728876,-0.836733 51.727101,-0.837501 51.726317,-0.839339 51.724193)))",Princes Risborough Main Expansion Area,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPD21W
